,bounding_box,date,inferred,keywords,lang,lat,lng
14,"['-41.3623801', '-41.1435402', '174.6131062', '174.8954104']",2016-07-03 04:03:31,False,kinging danger zone boylesque show,en,30.2955093,-97.7417374
15,,2019-03-06 19:06:14,True,effeuillage boylesque,fr,,
16,,2016-07-15 02:06:31,False,tonight boylesque daily jocks present pyjama party gh hotel come,en,-37.8683228,144.9869225
17,"['40.477399', '40.9161785', '-74.25909', '-73.7001809']",2016-05-09 18:39:16,True,annual new york boylesque festival run,en,40.7127281,-74.0060152
18,"['40.477399', '40.9161785', '-74.25909', '-73.7001809']",2015-01-01 06:12:15,False,sooo warmup act boylesque show started super cute beardy bear,en,40.7127281,-74.0060152
19,"['40.36152', '40.5012021', '-80.095517', '-79.865728']",2018-01-18 17:01:31,True,would birthday celebration without brilliant boylesque bettie brother amoxie villian smokin betties present sweetheart soiree lt february club cafe contact tickets,en,40.4416941,-79.9900861
20,"['51.3473219', '51.6673219', '-0.2876474', '0.0323526']",2017-07-26 12:39:30,True,review cheeky boylesque troupe briefs back fabulous new show close encounters,en,51.5073219,-0.1276474
21,,2016-05-07 04:00:31,True,caf boylesque sissy boys tom girls serving hot sausage,en,,
22,"['33.7036216', '34.337306', '-118.6681776', '-118.1552947']",2016-03-18 18:54:11,True,highlights last year seattle boylesque festival full episode channel cuban,en,34.0536909,-118.2427666
23,"['-35.2418503', '-13.5076852', '112.8656697', '129.0020486']",2016-01-29 13:04:19,True,actually desperate boylesque,en,-25.2303005,121.0187246
24,,2015-03-21 11:32:35,True,divine teasers boylesque show im gloria,en,,
25,,2015-03-19 15:36:16,True,dear ny hello long time perform new york boylesque festival b b king,en,,
26,"['49.841292', '51.121292', '-108.9292248', '-107.6492248']",2015-08-23 05:15:14,True,gogo always lot fun thanks homo erectus boylesque nyc stage stonewall inn drinks one terrific audience,en,50.481292,-108.2892248
27,"['48.0483537', '48.3683537', '16.2125042', '16.5325042']",2015-05-15 09:52:25,True,still awe yesterday evening first show nd annual boylesque festival vienna,en,48.2083537,16.3725042
28,"['42.222668', '42.323971', '-83.799572', '-83.675807']",2015-03-22 18:22:52,True,untucked boylesque april,en,42.2681569,-83.7312291
29,"['42.222668', '42.323971', '-83.799572', '-83.675807']",2016-09-30 01:02:22,False,excited performing new boylesque material showqueen party tonight,en,-33.8802699,151.21643069
30,"['55.839126', '55.879126', '-4.2663157', '-4.2263157']",2017-05-08 14:38:51,True,join us showtunes filth boylesque superstar free cocktails bucks,en,55.859126,-4.2463157
31,"['33.479245', '33.572707', '-84.292175', '-84.159687']",2014-11-22 15:21:07,True,still time make boylesque character workshops hapeville,en,33.5442781,-84.2338093
32,,2015-01-23 05:23:42,True,endless boylesque waiters,en,,
33,,2015-03-26 13:34:26,False,boylesque,en,,
34,"['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']",2015-05-08 12:24:56,True,get hot bothered weekend new york boylesque festival,en,40.6501038,-73.9495823
35,"['-35.0881805', '-34.7681805', '138.4399312', '138.7599312']",2015-03-04 23:58:36,True,fabulously raucous show hands best dose vaudevillian drag boylesque year,en,-34.9281805,138.5999312
36,,2016-07-31 05:01:58,True,lord londonbridge fire boylesque treat,en,,
37,"['40.3119774', '40.6437293', '-3.8889539', '-3.5179163']",2015-05-25 17:50:07,True,acaban de anunciar que habr tercera edici n del boylesque festival vienna foto con,es,40.4167047,-3.7035825
38,"['48.0483537', '48.3683537', '16.2125042', '16.5325042']",2015-05-09 12:10:54,True,nd annual boylesque festival,en,48.2083537,16.3725042
39,"['52.2513394', '52.3313394', '-1.576404', '-1.496404']",2015-04-12 19:13:04,True,wish could dance boylesque hot,en,52.2913394,-1.536404
40,"['52.3570365', '52.6770365', '13.2288599', '13.5488599']",2015-06-07 08:41:29,True,nachlese zum vienna boylesque festival c philipp lipiarski,de,52.5170365,13.3888599
41,"['51.8448338', '51.8449338', '5.8641098', '5.8642098']",2018-12-14 14:52:59,True,mr boylesque australia timothy turquoise striptease via,en,51.8448838,5.8641598
42,"['54.959032', '55.0793823', '-1.7756721', '-1.5292003']",2016-02-04 09:07:57,True,website boylesque burlesque gents link much info sadly,en,54.9738474,-1.6131572
43,"['-37.85067', '-37.77545', '144.89709', '144.9913426']",2015-12-02 11:24:15,True,lol tea step brother boylesque okay well coming next family reunion,en,-37.8142176,144.9631608
44,,2015-09-28 15:30:36,True,girl king boylesque,en,,
45,"['40.477399', '40.9161785', '-74.25909', '-73.7001809']",2015-02-01 06:34:21,True,boylesque trademark appeal terminate boylesque trademark via,en,40.7127281,-74.0060152
46,"['40.477399', '40.9161785', '-74.25909', '-73.7001809']",2015-01-27 22:06:14,False,francky lowatt boylesque performer fire spitting,fr,40.7127281,-74.0060152
47,,2019-03-08 03:45:51,True,first burlesque show wild bigger body types display boylesque drag body hair food also someone stapled part costume,en,,
48,,2018-08-20 21:19:39,False,thank mattknife homoerectusboylesquenyc stonewall original,en,40.73620897,-74.00324392
49,,2016-04-15 16:43:01,False,cannot wait practice boylesque performance troupe tonight routine awesome guys,en,40.73620897,-74.00324392
50,"['39.867005', '40.1379593', '-75.2802977', '-74.9558314']",2016-03-31 15:48:35,True,one boylesque sons love boy,en,39.9527237,-75.1635262
51,,2016-02-01 13:56:58,True,burlesque boylesque workshop mars fr basic bump n grind gera sitt eigi atri,is,,
52,"['40.8935631', '40.8936631', '-74.2607474', '-74.2606474']",2016-04-11 15:36:12,True,wednesday burlesque boylesque show,en,40.8936131,-74.2606974
53,"['51.9072048', '51.9872048', '-3.431696', '-3.351696']",2015-07-23 22:57:25,True,boylesque part banana,tr,51.9472048,-3.391696
54,"['41.644531', '42.0230396', '-87.940101', '-87.5240812']",2015-04-04 01:25:57,True,saturday festival flesh show brings remarkable entertainment boylesque superstar madame envy,en,41.8755616,-87.6244212
55,,2015-09-28 15:30:33,True,girl king boylesque,en,,
56,,2015-06-13 01:09:51,True,tonight st annual seattle boylesque festival main event triple door come,en,,
57,"['43.493963', '43.813963', '-79.547207', '-79.227207']",2018-10-16 23:56:58,True,tomorrow give boylesque halloween bump grind,en,43.653963,-79.387207
58,"['43.493963', '43.813963', '-79.547207', '-79.227207']",2015-10-27 15:37:48,False,new event biore bang broadway beauties boylesque ave arts seattle wa,en,47.615469,-122.31685
59,"['55.9432655', '55.9433655', '-3.2020191', '-3.2019191']",2015-06-07 11:27:11,True,reining king boylesque matt finish julie atlas muz miss exotic world moi,en,55.9433155,-3.2019691
60,"['36.992426', '41.0034002', '-109.0601879', '-102.041585']",2015-02-09 16:40:17,True,colorado burlesque festival producers looking burlesque boylesque vaudeville variety circus drag,en,38.7251776,-105.6077167
61,"['47.4810022', '47.7341357', '-122.459696', '-122.224433']",2015-01-21 20:21:41,True,know wanting check boylesque chance courtesy miss,en,47.6038321,-122.3300624
62,"['55.7011389', '56.0211389', '-4.4101672', '-4.0901672']",2015-01-03 13:12:22,True,calender filling way till far u want glam filthy boylesque get touch asap tomharlowboylesque com,en,55.8611389,-4.2501672
63,"['41.6765556', '83.3362128', '-141.00275', '-52.3231981']",2016-09-10 16:29:31,True,closer performed luminous pariah seattle first boylesque festival,en,61.0666922,-107.9917071
64,"['41.6765556', '83.3362128', '-141.00275', '-52.3231981']",2016-08-04 12:21:57,False,posted photos facebook album boylesque festival,en,61.0666922,-107.9917071
65,"['40.9279372', '40.9748155', '-75.9963026', '-75.9463744']",2016-06-15 19:18:47,True,bit boylesque teaser cannot wait official shoot mind thong lol,en,40.9646867,-75.9852789
66,"['40.226398', '40.241081', '-84.424049', '-84.388102']",2016-06-04 10:25:50,True,wurst rise like phoenix boylesque festival vienna touching singing angel,en,40.2344927,-84.409394
67,"['34.8020069', '34.8161189', '73.2386156', '73.2514902']",2015-01-16 17:40:08,True,nostalgische erotik sch ne nner die sich kunstvoll entbl ttern auf der divine teasers boylesque show,de,34.80833205,73.2451645625011
68,"['21.2548159', '21.4021936', '-157.9535818', '-157.6486277']",2016-08-03 21:44:13,True,opening tonight boylesque starring brandi lee jewel box revue thrilled,en,21.304547,-157.8556764
69,,2015-03-09 18:01:21,True,performer profile pi mime going write piece extolling virtues mime boylesque,en,,
70,"['47.4810022', '47.7341357', '-122.459696', '-122.224433']",2014-11-22 22:00:01,True,announcing boylesque break moustache wax glitter chance take class,en,47.6038321,-122.3300624
71,"['40.8935631', '40.8936631', '-74.2607474', '-74.2606474']",2018-07-13 22:35:03,True,boylesque performer tigger puts spring nyc alt cabaret scene,en,40.8936131,-74.2606974
72,"['-37.85067', '-37.77545', '144.89709', '144.9913426']",2016-08-20 10:21:44,True,peril judges ms bella de jac encouters flying cake mr boylesque amazing act,en,-37.8142176,144.9631608
73,"['-37.85067', '-37.77545', '144.89709', '144.9913426']",2018-02-03 05:58:28,False,went first drag show tonight yall know boylesque thing,en,-37.8142176,144.9631608
74,"['40.477399', '40.9161785', '-74.25909', '-73.7001809']",2015-05-10 05:02:46,True,ny boylesque festival,en,40.7127281,-74.0060152
75,"['40.477399', '40.9161785', '-74.25909', '-73.7001809']",2016-06-02 10:11:01,False,cool cats divine teasers boylesque show via,de,40.7127281,-74.0060152
76,"['51.5053154', '51.506873', '-0.1175407', '-0.1150699']",2016-09-20 12:01:02,True,going want miss wild glam boylesque extravaganza,en,51.50573225,-0.116789368680589
77,"['40.477399', '40.9161785', '-74.25909', '-73.7001809']",2016-04-11 11:36:52,True,assume guys boylesque defs highlight one lesbian opinion,en,40.7127281,-74.0060152
78,,2015-09-21 06:40:44,True,boylesque performers pictures,en,,
79,"['51.3473219', '51.6673219', '-0.2876474', '0.0323526']",2015-09-21 21:36:38,True,boylesque performers pictures,en,51.5073219,-0.1276474
80,"['40.477399', '40.9161785', '-74.25909', '-73.7001809']",2015-05-03 23:01:56,True,getting ready europe travels vienna boylesque festival,en,40.7127281,-74.0060152
81,"['40.0587353', '40.0589433', '-83.1286555', '-83.1276093']",2017-02-21 21:02:51,True,tonight every tuesday night bring men bourbon boylesque see men oz like,en,40.0587916,-83.1283309
82,,2017-04-19 18:44:42,True,sprucing ol command gold seattle boylesque festival weekend thetripledoor,en,,
83,"['-34.1732416', '-33.3641481', '150.260825', '151.3427428']",2015-01-23 16:15:51,True,followed pirate boylesque act show hosted computer,en,-33.8548157,151.2164539
84,"['40.8935631', '40.8936631', '-74.2607474', '-74.2606474']",2014-12-09 16:20:58,True,tickets boonton boylesque produced white elephant burlesque featuring viktor devonne bounteous,en,40.8936131,-74.2606974
85,"['40.8935631', '40.8936631', '-74.2607474', '-74.2606474']",2018-06-02 23:10:04,False,tonight agt starring burlesque boylesque variety award winning clocktower clockettes sprinkled appearances colorado world best comedians musicians puppets belly dancers magicians aerialists guest stars,en,39.748099,-104.995687
86,,2015-05-29 18:58:03,True,world boylesque photo credit mo pitz hidden world never imagined photographer,en,,
87,"['49.1984452', '49.3161714', '-123.2249611', '-123.0232419']",2019-03-03 09:12:14,True,decided pull custom piece made amazing made bane boylesque number works pretty well gogo outfit say,en,49.2608724,-123.1139529
88,"['43.532654', '43.668708', '1.3503956', '1.5153795']",2014-12-03 10:27:57,True,la soir e boylesque c est demain pensez r server au,fr,43.6044622,1.4442469
89,"['41.644531', '42.0230396', '-87.940101', '-87.5240812']",2019-01-18 20:57:37,True,next sunday bringing chicago finest drag burlesque boylesque performers stage latest bippity boppity booze,en,41.8755616,-87.6244212
90,,2016-09-06 12:28:05,True,got burlesque boylesque north got burlesque boylesque south,en,,
91,"['50.0699241', '50.1099241', '11.9027419', '11.9427419']",2018-02-11 08:00:04,True,heute big boylesque burlesque nuernberg um,de,50.0899241,11.9227419
92,,2016-05-12 17:09:53,True,tonight night revival fresh meat class boylesque toronto debut,en,,
93,,2018-07-06 17:55:04,True,discussing rats lunch one extolled virtues brattleboro rat companion floored knockout rat boylesque name add stevens genes,en,,
94,"['33.7036216', '34.337306', '-118.6681776', '-118.1552947']",2019-02-27 23:28:52,True,tomorrow drag queens boylesque trans performers drag kings room service,en,34.0536909,-118.2427666
95,"['38.5323215', '38.7743396', '-90.3206525', '-90.1662923']",2015-11-11 15:30:43,True,boylesque,tr,38.6268039,-90.1994097
96,,2015-05-19 06:01:17,True,excited famous crowd boylesque show vienna lifeball,en,,
97,"['19.122153', '19.442153', '-99.1016122', '-98.7816122']",2016-01-07 01:45:38,True,boylesque ense ando piel masculina v,es,19.282153,-98.9416122
98,"['19.122153', '19.442153', '-99.1016122', '-98.7816122']",2015-04-14 22:44:16,False,love pic come gtb weekend first boylesque thunderballs opens saturday,en,41.916544,-87.686528
99,"['40.8935631', '40.8936631', '-74.2607474', '-74.2606474']",2017-05-06 03:46:02,True,boylesque pele erect elephant production presented viktor devonne matt knife featuring bronze,en,40.8936131,-74.2606974
100,"['52.3477247', '52.6627172', '-2.2068817', '-1.4239574']",2019-05-03 19:55:51,True,presenting boylesque,en,52.5050033,-1.96439612333127
101,"['43.1033023', '43.2676254', '-77.7016324', '-77.5311657']",2015-01-09 12:01:16,True,looking forward silliness rod steele short quite fun act evening done boylesque thing since june,en,43.157285,-77.615214
102,,2014-12-06 12:38:43,True,ahora christopher carignano nos cuenta sobre su obra boylesque acordate que sorteamos entradas,es,,
103,"['51.3216546', '51.6416546', '-3.3391934', '-3.0191934']",2017-03-15 14:45:36,True,feature boylesque performer photographs,en,51.4816546,-3.1791934
104,"['48.3133', '48.3533', '16.28', '16.32']",2015-09-02 06:20:00,True,lily valley records boylesque malheureux,fr,48.3333,16.3
105,"['47.4810022', '47.7341357', '-122.459696', '-122.224433']",2018-01-31 22:00:02,True,oui oui burlesque boylesque french circus avec miss indigo blue twirlygirl luminous pariah paris original trojan original moscato extatique,fr,47.6038321,-122.3300624
106,"['47.4810022', '47.7341357', '-122.459696', '-122.224433']",2017-10-24 10:16:44,False,lady mister punch boylesque photos,en,43.7769374,11.24767134
107,"['-37.85067', '-37.77545', '144.89709', '144.9913426']",2016-02-28 01:04:54,True,yaaaaay omg go gh hotel time neeeed show glamazon boylesque,en,-37.8142176,144.9631608
108,"['-37.85067', '-37.77545', '144.89709', '144.9913426']",2016-02-11 01:58:17,False,hey going seattle boylesque festival year,en,-37.8142176,144.9631608
109,,2015-10-29 06:47:03,True,gogo harder boylesque sex performer,en,,
110,,2015-08-05 21:48:36,True,come conclusion need burlesque girls women life course studly men boylesque well,en,,
111,,2015-05-15 22:30:24,True,underage seattle boylesque show underage fans waiting outside night come meet us,en,,
112,,2015-05-08 07:53:06,True,cocked loaded boylesque killed tonight top sexy hell insanely talented dancers innovators sweet,en,,
113,"['41.644531', '42.0230396', '-87.940101', '-87.5240812']",2018-11-17 18:48:38,True,poster boy say poster boy says get butt charlieschicagobar tonight yet another amazing boylesque chicago show guest performers tonight mamanoshits,en,41.8755616,-87.6244212
114,,2019-01-25 11:30:29,True,excited hosting cabaret variety show valentines day going incredible night burlesque boylesque magic live swing jazz comedy drag,en,,
115,"['51.8448338', '51.8449338', '5.8641098', '5.8642098']",2015-06-24 07:30:27,True,another boylesque competitor add mix miss burlesque act please welcome jack london,en,51.8448838,5.8641598
116,"['51.2011154', '51.2011804', '0.3052267', '0.3053652']",2016-06-03 13:05:52,True,performer profile number phil ingud described geeky beefcake british boylesque phil force,en,51.2011154,0.3053652
117,"['25.7090517', '25.8557827', '-80.31976', '-80.139157']",2016-02-10 03:40:30,True,ready boylesque valentino back valentine day alentino royale,en,25.7742658,-80.1936589
118,"['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']",2015-11-11 00:42:49,True,boylesque,en,40.6501038,-73.9495823
119,"['61.4656696', '61.469', '9.4103189', '9.4322804']",2015-11-07 12:16:03,True,soy boylesque v,es,61.4666972,9.420933
120,"['43.493963', '43.813963', '-79.547207', '-79.227207']",2015-12-06 20:46:02,True,sunday culmination boylesque education class acts show,en,43.653963,-79.387207
121,"['43.493963', '43.813963', '-79.547207', '-79.227207']",2015-09-17 20:56:25,True,burlesque boylesque drag performer named buster highman curious,en,43.653963,-79.387207
122,"['54.4339831', '61.061', '-14.015517', '-0.3209221']",2016-11-30 15:40:15,True,boss lady patched guy asking boylesque show work raging would amazing,en,56.7861112,-4.1140518
123,"['54.4339831', '61.061', '-14.015517', '-0.3209221']",2016-12-19 16:17:25,False,wow first ever week boylesque performer performed burlesque shows stripped front,en,56.7861112,-4.1140518
124,"['43.54553558', '43.54563558', '-80.250566026667', '-80.250466026667']",2016-07-08 16:45:17,True,boylesque night put stick around show dance dj timemachine spins crowd loves,en,43.54558558,-80.2505160266667
125,"['43.493963', '43.813963', '-79.547207', '-79.227207']",2016-05-31 15:06:23,True,please friend make boylesque superstar,en,43.653963,-79.387207
126,"['54.4339831', '61.061', '-14.015517', '-0.3209221']",2016-05-26 18:21:24,True,boylesque burlesque special thelateshow tom harlow kim khaos,en,56.7861112,-4.1140518
127,"['46.6695918', '46.6895918', '12.9747091', '12.9947091']",2016-10-12 21:03:32,True,por qu llamar al burlesque masculino boylesque por favor,es,46.6795918,12.9847091
128,"['32.613216', '33.0239366', '-97.000482', '-96.4636317']",2016-07-28 02:43:59,True,gif gt mov selen molina performs winston lucky ruby revue present boylesque,en,32.7762719,-96.7968559
129,"['32.613216', '33.0239366', '-97.000482', '-96.4636317']",2016-07-06 15:34:17,False,announced everybody rise broadway boylesque feat evan morton max clayton corey,en,40.74308064,-74.00569518
130,"['50.7982097', '50.8923741', '-0.2450771', '-0.0160307']",2016-05-21 14:55:10,True,going briefs tonight republic boylesque show quite pupperty penis one gayest gigs done bit,en,50.84522125,-0.149758505411392
131,"['44.4867408', '44.6217731', '10.7214264', '10.8151541']",2018-09-21 18:48:52,True,per poi avresti una carriera di boylesque davanti,it,44.5409769,10.7829023
132,,2018-12-20 16:21:43,True,boylesque bingo drag queens conor neill coming way february proceeds go mott children hospital reserve spot please contact cmgi edu payment information person gets drink ticket bingo night,en,,
133,"['52.1527885', '52.2327885', '-1.7463668', '-1.6663668']",2018-10-05 17:00:39,True,people aware guys burlesque well pleasure fabulous performing unique style boylesque coming stratford playhouse tickets available,en,52.1927885,-1.7063668
134,"['51.3866588', '51.4666588', '-0.2090768', '-0.1290768']",2018-07-03 13:20:13,True,boylesque,en,51.4266588,-0.1690768
135,"['47.2701114', '55.099161', '5.8663153', '15.0419319']",2017-03-25 16:15:25,True,veranstaltung big boylesque burlesque n rnberg,de,51.0834196,10.4234469
136,,2018-12-15 23:44:02,True,decided look yoshimura discovered samurai boylesque show highly entertained xd,en,,
137,,2018-08-20 20:44:02,True,boylesque life,en,,
138,"['52.3570365', '52.6770365', '13.2288599', '13.5488599']",2015-05-07 23:22:17,True,chance see exotic boylesque show earth right berlin amazing,en,52.5170365,13.3888599
139,"['38.5323215', '38.7743396', '-90.3206525', '-90.1662923']",2015-11-14 17:35:21,True,guys get strip teasey fun boylesque week feature,en,38.6268039,-90.1994097
140,,2017-08-08 15:10:58,True,heading ptown today recs lunch drinks boylesque shows,en,,
141,"['47.4203421', '49.0777916', '6.8413178', '8.2325219']",2014-12-30 17:10:09,True,couvrez le portrait de vince van vegas boylesque au sein des pin alsace,fr,48.24917645,7.4074699518555
142,"['-33.9199488', '-33.9198488', '18.4205027', '18.4206027']",2014-12-19 08:04:24,True,hurry tickets left late night xxxmas boylesque show tomorrow night,en,-33.9198988,18.4205527
143,"['-33.9199488', '-33.9198488', '18.4205027', '18.4206027']",2014-12-11 06:40:46,True,hurry tickets left late night xxxmas boylesque show tomorrow night,en,-33.9198988,18.4205527
144,"['41.390628', '41.604436', '-81.8790937', '-81.532744']",2016-04-26 23:09:07,True,posted photos facebook album boylesque royal revue,en,41.5051613,-81.6934446
145,"['41.644531', '42.0230396', '-87.940101', '-87.5240812']",2015-05-01 18:01:03,True,half price tickets thunderballs james bond boylesque gorilla tango theatre,en,41.8755616,-87.6244212
146,"['40.0587353', '40.0589433', '-83.1286555', '-83.1276093']",2016-09-20 20:00:55,True,tonight night oz new orleans pleased announce new tuesday night show bourbon boylesque,en,40.0587916,-83.1283309
147,,2019-04-19 00:06:26,True,always forget itunes c rentals took quick gander titles include rebel without cause born flames bridge river kwai romancing stone jfk gloria purple rain whip course boylesque trilogy,en,,
148,"['36.997968', '42.0015016', '-114.0528823', '-109.0415767']",2017-06-04 23:07:36,True,entire order code daddy great time get boylesque merchandise,en,39.4225192,-111.7143584
149,"['38.7154517', '39.0351247', '-104.9170862', '-104.5999135']",2015-06-04 21:52:11,True,boylesque best,en,38.8339578,-104.8253485
150,"['-37.85067', '-37.77545', '144.89709', '144.9913426']",2017-04-25 05:00:03,True,bottoms supports boys dance heels bare feet hot pants long pants pants boylesque pole,en,-37.8142176,144.9631608
151,"['-37.85067', '-37.77545', '144.89709', '144.9913426']",2017-10-01 02:40:41,False,found danger zone boylesque two years check got,en,30.2955093,-97.7417374
152,"['58.1419496', '58.4619496', '-134.579734', '-134.259734']",2017-07-14 17:56:08,True,mod carousel brings boylesque world premiere juneau,en,58.3019496,-134.419734
153,"['39.6143154', '39.9142087', '-105.1098845', '-104.5996889']",2018-06-27 14:00:53,True,coming cbf friday saturday night indy fire denver co tender loin tease one third denver premiere boylesque trio known burning loins indy,en,39.7392364,-104.9848623
154,"['52.9472122', '55.1889788', '-3.6406213', '-1.9096224']",2018-05-11 11:30:08,True,boylesque performers pictures,en,54.06809245,-2.68525312594421
155,"['-14.7608358', '71.6048217', '-180', '180']",2017-11-03 19:57:42,True,gay nyc calendar boylesque festival gaymerx playgirl themed swim party,en,39.7837304,-100.4458825
156,,2017-01-21 19:55:49,True,showing skin troyboy entertainment boylesque revue fun night,en,,
157,"['35.7376486', '35.8037037', '-91.6696345', '-91.5758139']",2017-02-17 18:31:01,True,could always take sweets burlesque show also features boylesque,en,35.769799,-91.6409722
158,,2016-12-07 18:00:07,True,boylesque gender construction neo burlesque striptease blogs,en,,
159,,2016-07-21 14:05:39,True,mmaestra boylesque act,en,,
160,"['41.644531', '42.0230396', '-87.940101', '-87.5240812']",2016-02-17 00:54:55,True,girl town yaaaazzzzzzz wanna show need extra boylesque tn,en,41.8755616,-87.6244212
161,"['40.477399', '40.9161785', '-74.25909', '-73.7001809']",2015-09-29 07:07:45,True,girl king boylesque,en,40.7127281,-74.0060152
162,"['45.4149278', '45.4150278', '-72.749446', '-72.749346']",2014-12-08 17:38:34,True,holiday fun time party burlesque boylesque cinnamon maxine camryn obscura,en,45.4149778,-72.749396
163,"['31.2246972', '31.2397881', '-94.7650195', '-94.7368992']",2016-02-14 02:58:33,True,aaron gordon boylesque routine,en,31.23220865,-94.7538281912588
164,"['41.6556417', '42.1410285', '12.2344669', '12.8557603']",2015-10-22 15:10:08,True,girl king boylesque,en,41.894802,12.4853384
165,"['44.5629531', '44.7424432', '10.7829773', '11.0122721']",2015-06-08 09:23:15,True,gioved giugno evento prima assoluta nazionale da non perdere assolutamente boylesque da sballo,it,44.6458885,10.9255707
166,"['38.7916303', '38.9958524', '-77.1197663', '-76.909366']",2016-10-24 14:17:13,True,excited boylesque alongside hot todd lincoln mr maryland leather,en,38.8950092,-77.0365625
167,"['43.493963', '43.813963', '-79.547207', '-79.227207']",2016-09-02 20:13:11,True,coming reveal debuting brand new boylesque performer travelled world,en,43.653963,-79.387207
168,"['46.9596286', '46.960326', '22.0503095', '22.0582483']",2015-09-25 01:52:25,True,know enjoyed boylesque tonight personally prefer burlesque,en,46.9599823,22.0541733
169,"['51.3473219', '51.6673219', '-0.2876474', '0.0323526']",2015-08-07 16:33:55,True,looking forward briefs male boylesque spectacular opening night,en,51.5073219,-0.1276474
170,"['42.998164', '43.171916', '-89.566844', '-89.246813']",2015-06-01 13:27:51,True,still chicago weekend give james bond boylesque show try lead,en,43.074761,-89.3837613
171,,2015-05-10 18:58:07,True,los encannotos del boylesque al desnudo,es,,
172,,2018-02-06 15:56:30,False,boylesque beau belle,ja,,
173,"['51.3216546', '51.6416546', '-3.3391934', '-3.0191934']",2017-03-30 12:08:03,True,boylesque dancer ernie sparkles talked cardiff love performing growing city,en,51.4816546,-3.1791934
174,"['38.760207', '38.825357', '-90.086111', '-89.883583']",2015-10-02 23:00:15,True,oh boylesque changed,en,38.8114364,-89.953157
175,"['51.3473219', '51.6673219', '-0.2876474', '0.0323526']",2019-06-25 11:39:30,True,patreon update public treat little blog post love miss burlesque uk mr boylesque uk prinx lydia xxx,en,51.5073219,-0.1276474
176,"['33.7036216', '34.337306', '-118.6681776', '-118.1552947']",2018-10-03 18:28:19,True,boylesque brunch october,en,34.0536909,-118.2427666
177,"['55.839126', '55.879126', '-4.2663157', '-4.2263157']",2015-05-02 18:46:32,True,boylesque variety tonight volcanic ash jack squat presented paul puppet,en,55.859126,-4.2463157
178,"['45.261106', '45.581106', '-75.850308', '-75.530308']",2019-06-29 00:23:00,True,ready boylesque hey josh murphy newfound lad,en,45.421106,-75.690308
179,"['55.839126', '55.879126', '-4.2663157', '-4.2263157']",2018-10-18 17:00:21,True,boylesque superstar scotland top cool list bringing showtunes filth set like introducing tom harlow free entry cocktails bucks,en,55.859126,-4.2463157
180,"['32.745853705632', '32.745953705632', '-117.16036366176', '-117.16026366176']",2017-09-22 00:15:17,True,boys boys boys join us tonight showtunes boylesque tonight,en,32.7459037056321,-117.160313661761
181,"['43.4738217', '43.594353', '-80.3269091', '-80.1535013']",2016-06-27 16:49:55,True,troyboy entertainment boylesque review saturday july,en,43.533783,-80.2306337
